countries_first	languages_first	running_times_first	kind
China	Arabic	2.033333333333333	1
China	Cantonese	1.6944444444444449	54
China	Chinese	1.6270497311827965	496
China	Dutch	1.0666666666666667	1
China	English	1.5780068728522334	97
China	Filipino	1.6333333333333333	1
China	French	1.825	2
China	Hmong	1.5083333333333333	2
China	Japanese	1.65	10
China	Korean	1.8222222222222222	6
China	Mandarin	1.662462462462462	1110
China	Mongolian	1.65	2
China	None	1.4666666666666666	1
China	Russian	1.7333333333333334	3
China	Shanghainese	1.538888888888889	3
China	Shanxi	1.5666666666666667	2
China	Spanish	1.3	1
China	Tibetan	1.6555555555555557	15
China	Vietnamese	1.6666666666666667	1
Colombia	Creole	1.3583333333333334	2
Colombia	English	1.4555555555555555	9
Colombia	Italian	1.85	1
Colombia	Portuguese	1.4	2
Colombia	Spanish	1.5171052631578952	266
Costa Rica	English	1.44375	8
Costa Rica	Spanish	1.4381944444444443	48
Croatia	Arabic	1.0833333333333333	1
Croatia	Bosnian	1.5416666666666665	2
Croatia	Bulgarian	1.25	1
Croatia	Croatian	1.4543177892918828	193
Croatia	Czech	1.1666666666666667	1
Croatia	Dutch	1.5	1
Croatia	English	1.366666666666667	16
Croatia	French	1.0666666666666667	1
Croatia	German	1.4277777777777778	3
Croatia	Italian	1.2833333333333334	1
Croatia	Portuguese	1.5	1
Croatia	Serbian	1.6285714285714286	14
Croatia	Serbo-Croatian	1.5745098039215684	34
Croatia	Slovenian	1.6749999999999998	2
Croatia	Spanish	1.45	1
Cuba	English	1.4904761904761905	7
Cuba	Portuguese	1.1833333333333333	1
Cuba	Spanish	1.5254666666666652	125
Cyprus	Arabic	1.6666666666666667	1
Cyprus	English	1.5733333333333333	15
Cyprus	Greek	1.4824561403508774	38
Cyprus	Turkish	1.7166666666666666	1
Czech Republic	Basque	1.5833333333333333	1
Czech Republic	Catalan	1.45	1
Czech Republic	Czech	1.5716404886561943	573
Czech Republic	Dari	1.3333333333333333	1
Czech Republic	English	1.5586538461538464	52
Czech Republic	French	1.2541666666666669	4
Czech Republic	German	1.4016666666666668	10
Czech Republic	Hebrew	1.5	1
Czech Republic	Hungarian	1.625	2
Czech Republic	Italian	1.6	1
Czech Republic	Korean	1.7666666666666666	1
Czech Republic	None	1.55	2
Czech Republic	Polish	1.7666666666666666	1
Czech Republic	Romany	1.6666666666666667	1
Czech Republic	Russian	1.3066666666666666	5
Czech Republic	Serbo-Croatian	1.2166666666666666	1
Czech Republic	Slovak	1.4666666666666663	15
Czech Republic	Spanish	1.5291666666666666	4
Czech Republic	Ukrainian	1.3041666666666667	4
Denmark	Arabic	1.4499999999999997	7
Denmark	Bosnian	1.1666666666666667	1
Denmark	Burmese	1.4	1
Denmark	Chinese	1.2166666666666666	1
Denmark	Danish	1.5060706401766009	604
Denmark	Dari	1.4416666666666667	2
Denmark	Dutch	1.675	2
Denmark	English	1.5279448621553882	133
Denmark	Estonian	1.4333333333333333	1
Denmark	Faroese	1.4500000000000002	2
Denmark	French	1.3466666666666665	5
Denmark	German	1.596666666666667	5
Denmark	Greenlandic	1.3083333333333333	2
Denmark	Haitian	1.4166666666666667	1
Denmark	Hindi	1.3	1
Denmark	Indonesian	1.7166666666666666	1
Denmark	Italian	1.5	1
Denmark	Japanese	1.2833333333333332	2
Denmark	Latvian	1.1666666666666667	1
Denmark	Mandarin	1.475	2
Denmark	Norwegian	1.8208333333333333	4
Denmark	Persian	1.4583333333333335	2
Denmark	Portuguese	1.5	1
Denmark	Russian	1.5833333333333335	7
Denmark	Saami	1.6	1
Denmark	Serbian	1.5	1
Denmark	Shona	1.6666666666666667	1
Denmark	Spanish	1.4249999999999998	8
Denmark	Swedish	1.6987179487179487	13
Denmark	Tamil	2.3333333333333335	2
Denmark	Urdu	1.1333333333333333	1
Dominican Republic	English	1.6833333333333333	6
Dominican Republic	Spanish	1.5119047619047619	154
Ecuador	English	1.4111111111111112	3
Ecuador	French	1.1333333333333333	1
Ecuador	Russian	1.55	1
Ecuador	Spanish	1.4967432950191568	87
Egypt	Arabic	1.717280701754385	380
Egypt	Egyptian (Ancient)	1.575	2
Egypt	English	1.735897435897436	13
Egypt	French	1.4	1
Estonia	Arabic	1.2333333333333334	1
Estonia	English	1.4133333333333333	10
Estonia	Estonian	1.5484000000000004	125
Estonia	Finnish	1.5833333333333333	1
Estonia	Latvian	1.3	1
Estonia	Norwegian	1.35	1
Estonia	Polish	1.55	1
Estonia	Russian	1.4416666666666667	10
Federal Republic of Yugoslavia	English	1.3916666666666666	2
Federal Republic of Yugoslavia	Hungarian	1.6666666666666667	1
Federal Republic of Yugoslavia	Romany	2.1166666666666667	1
Federal Republic of Yugoslavia	Serbian	1.6377777777777776	75
Federal Republic of Yugoslavia	Serbo-Croatian	1.5722222222222222	3
Finland	Bulgarian	1.3333333333333333	1
Finland	Chinese	1.4083333333333332	2
Finland	English	1.4888888888888887	54
Finland	Estonian	1.445833333333333	8
Finland	Filipino	1.25	1
Finland	Finnish	1.499187225090841	581
Finland	French	1.5	3
Finland	Georgian	1.5	1
Finland	German	1.625	6
Finland	Gujarati	1.2666666666666666	1
Finland	Hindi	1.2	1
Finland	Mandarin	1.1333333333333333	1
Finland	Nenets	1.3833333333333335	3
Finland	Persian	1.25	1
Finland	Russian	1.4700000000000002	10
Finland	Saami	1.15	1
Finland	Spanish	1.3444444444444443	3
Finland	Swedish	1.5884615384615386	26
France	Aboriginal	1.5	1
France	Acholi	2.216666666666667	1
France	Albanian	1.4916666666666667	2
France	Arabic	1.6580065359477125	102
France	Armenian	1.6333333333333335	7
France	Bambara	1.5	6
France	Bengali	1.75	2
France	Bosnian	1.525	2
France	Bulgarian	1.4388888888888889	3
France	Burmese	1.4666666666666666	1
France	Cantonese	1.85	2
France	Catalan	1.5333333333333332	2
France	Central Khmer	1.5583333333333333	4
France	Chechen	2.4166666666666665	1
France	Chinese	1.4208333333333332	8
France	Corsican	1.6	1
France	Creole	1.488888888888889	3
France	Czech	1.525	2
France	Danish	1.4166666666666667	1
France	Dutch	1.9100000000000001	5
France	Dyula	1.3666666666666667	1
France	Dzongkha	1.3333333333333333	1
France	English	1.6353482587064665	670
France	Esperanto	1.4166666666666667	1
France	Filipino	1.622222222222222	3
France	French	1.5820562435500545	5168
France	French Sign Language	1.6166666666666667	1
France	Fula	1.1833333333333333	1
France	Gaelic	1.5	1
France	Georgian	1.6333333333333335	6
France	German	1.7844827586206897	29
France	Greek	1.5407407407407405	9
France	Haitian	1.4500000000000002	3
France	Hebrew	1.5553333333333337	25
France	Hindi	1.761111111111111	3
France	Hungarian	1.5583333333333331	2
France	Icelandic	1.8583333333333334	2
France	Indonesian	1.2833333333333334	1
France	Inuktitut	1.5833333333333335	2
France	Italian	1.505714285714286	35
France	Japanese	1.4270833333333333	24
France	Kaado	1.7	1
France	Kabyle	1.525	2
France	Kazakh	1.6083333333333334	4
France	Khmer	1.6133333333333337	5
France	Korean	1.3476190476190477	7
